6-digit,Proposed mapping
393113,TEXT_Textiles
393114,SHOE_Shoes and leather goods
393211,TEXT_Textiles
393212,TEXT_Textiles
393213,TEXT_Textiles
393299,TEXT_Textiles
393311,UPHO_Upholstery
394112,CONS_Construction Trades
394113,CONS_Construction Trades
394211,"IMAR_Industrial Manufacturing, Assembly and repair"
394212,"IMAR_Industrial Manufacturing, Assembly and repair"
394213,"IMAR_Industrial Manufacturing, Assembly and repair"
394214,"IMAR_Industrial Manufacturing, Assembly and repair"
394299,"IMAR_Industrial Manufacturing, Assembly and repair"
399111,"IMAR_Industrial Manufacturing, Assembly and repair"
399112,"IMAR_Industrial Manufacturing, Assembly and repair"
399211,CHEM_Chemical Pharmaceutical Manufacturing
399212,OPET_Oil/Petroleum Industry
399213,LINE_Power Station/Power Line Worker
399311,ARTF_Artist/Film Processing
399312,OFFW_Office Worker
399411,"IMAR_Industrial Manufacturing, Assembly and Repair"
399511,OFFW_Office Worker
399512,OFFW_Office Worker
399513,OFFW_Office Worker
399514,HAIR_Hairdresser/Beauty Therapist
399515,"IMAR_Industrial Manufacturing, Assembly and repair"
399516,OFFW_Office Worker
399517,OFFW_Office Worker
399599,OFFW_Office Worker
399611,PRIN_Printing
399911,SHIP_Shipping/Fishing
399912,OFFW_Office Worker
399913,RETA_Retail Workers
399914,"IMAR_Industrial Manufacturing, Assembly and repair"
399915,ARTF_Artist/Film Processing
399916,RUBB_Rubber or Plastic Industry
411111,HLTH_Health Workers
411112,HLTH_Health Workers
411211,HLTH_Health Workers
411212,HLTH_Health Workers
411213,HLTH_Health Workers
411214,HLTH_Health Workers
411311,HLTH_Health Workers
411411,HLTH_Health Workers
411412,HLTH_Health Workers
411511,HLTH_Health Workers
411611,HLTH_Health Workers
411711,OFFW_Office Worker
411712,OFFW_Office Worker
411713,OFFW_Office Worker
411714,OFFW_Office Worker
411715,OFFW_Office Worker
411716,OFFW_Office Worker
421111,TEAC_Teaching
421112,TEAC_Teaching
421113,TEAC_Teaching
421114,TEAC_Teaching
422111,TEAC_Teaching
422112,TEAC_Teaching
422115,TEAC_Teaching
422116,TEAC_Teaching
423111,HLTH_Health Workers
423211,HLTH_Health Workers
423311,HLTH_Health Workers
423312,HLTH_Health Workers
423313,HLTH_Health Workers
423314,HLTH_Health Workers
423411,OFFW_Office Worker
423412,OFFW_Office Worker
423413,OFFW_Office Worker
431111,FOOD_Food Workers
431112,FOOD_Food Workers
431211,FOOD_Food Workers
431311,RETA_Retail Workers
431411,FOOD_Food Workers
431511,FOOD_Food Workers
431911,FOOD_Food Workers
431912,FOOD_Food Workers
431999,FOOD_Food Workers
441111,MLTY_Military
441211,FIRE_Firefighter
441212,FIRE_Firefighter
441311,POLI_Police
441312,POLI_Police
442111,OFFW_Office Worker
442211,OFFW_Office Worker
442212,POLI_Police
442213,OFFW_Office Worker
442214,OFFW_Office Worker
442215,OFFW_Office Worker
442216,OFFW_Office Worker
442217,OFFW_Office Worker
442299,OFFW_Office Worker
451111,HAIR_Hairdresser/Beauty Therapist
451211,DRIV_Driver
451311,FUNR_Funeral Workers
451399,FUNR_Funeral Workers
451411,RETA_Retail Workers
451412,RETA_Retail Workers
451511,OFFW_Office Worker
451512,OFFW_Office Worker
451513,OFFW_Office Worker
451611,RETA_Retail Workers
451612,RETA_Retail Workers
451711,AIRT_Air Transport Workers
451811,OFFW_Office Worker
451812,HAIR_Hairdresser/Beauty Therapist
451813,OFFW_Office Worker
451814,OFFW_Office Worker
451815,TEAC_Teaching
451816,OFFW_Office Worker
451899,OFFW_Office Worker
452111,TEAC_Teaching
452211,TEAC_Teaching
452212,TEAC_Teaching
452213,TEAC_Teaching
452214,TEAC_Teaching
452215,TEAC_Teaching
452216,TEAC_Teaching
452217,TEAC_Teaching
452299,TEAC_Teaching
452311,TEAC_Teaching
452312,TEAC_Teaching
452313,ANIM_Animal worker
452314,TEAC_Teaching
452315,TEAC_Teaching
452316,TEAC_Teaching
452317,TEAC_Teaching
452318,ANIM_Animal worker
452321,OFFW_Office Worker
452322,OFFW_Office Worker
452323,OFFW_Office Worker
452411,OFFW_Office Worker
452412,OFFW_Office Worker
452413,OFFW_Office Worker
452414,OFFW_Office Worker
452499,OFFW_Office Worker
511111,OFFW_Office Worker
511112,OFFW_Office Worker
512111,OFFW_Office Worker
512211,OFFW_Office Worker
512299,OFFW_Office Worker
521111,OFFW_Office Worker
521211,OFFW_Office Worker
521212,OFFW_Office Worker
531111,OFFW_Office Worker
532111,OFFW_Office Worker
532112,OFFW_Office Worker
532113,OFFW_Office Worker
541111,OFFW_Office Worker
541112,OFFW_Office Worker
541211,OFFW_Office Worker
542111,OFFW_Office Worker
542112,OFFW_Office Worker
542113,OFFW_Office Worker
542114,OFFW_Office Worker
